STL loaded: 61329 triangles
Dimensions: X[-0.475..1.102] Y[-0.390..0.343] Z[-0.503..0.779] m

=============================================================
    TURBO MONSTER 1.3L TRIPLE тАФ COMBAT SIMULATION
    2-Stroke | Turbo | Direct Injection | ALS Active
=============================================================
Time(s) | RPM   | Boost | EGT(C) | Wf(g/s) | Power(kW) | Torque(Nm) | Mode
-----------------------------------------------------------------
   0.0 |     1 | 1.01 |  227 |    0.06 |      0.0 |      0.0 | G0   0km/h | OFF
   5.6 |  5266 | 1.16 |  930 |   19.22 |    130.8 |    236.7 | G1 104km/h | ALS-SPOOL
   5.7 |  5442 | 1.16 |  918 |   19.94 |    137.7 |    241.1 | G1 107km/h | ALS-SPOOL
   5.8 |  5621 | 1.16 |  906 |   20.68 |    144.2 |    244.4 | G1 111km/h | ALS-SPOOL
   5.9 |  5801 | 1.16 |  895 |   21.43 |    150.0 |    246.2 | G1 114km/h | ALS-SPOOL
   6.0 |  5981 | 1.17 |  885 |   22.19 |    154.8 |    246.4 | G1 118km/h | ALS-SPOOL
   6.1 |  6159 | 1.17 |  876 |   22.95 |    158.5 |    245.0 | G1 122km/h | ALS-SPOOL
   6.2 |  6335 | 1.17 |  868 |   23.72 |    161.1 |    242.1 | G1 125km/h | ALS-SPOOL
   6.3 |  6508 | 1.18 |  861 |   24.49 |    162.9 |    238.2 | G1 129km/h | ALS-SPOOL
   6.4 |  6677 | 1.18 |  854 |   25.28 |    163.8 |    233.5 | G1 132km/h | ALS-SPOOL
   6.5 |  6842 | 1.18 |  847 |   26.08 |    164.3 |    228.4 | G1 135km/h | ALS-SPOOL
   6.6 |  7003 | 1.19 |  842 |   26.92 |    164.4 |    223.3 | G1 139km/h | ALS-SPOOL
   6.7 |  7159 | 1.19 |  836 |   27.82 |    164.4 |    218.4 | G1 142km/h | ALS-SPOOL
   6.8 |  7314 | 1.19 |  830 |   28.80 |    169.0 |    219.8 | G1 145km/h | ALS-SPOOL
   6.9 |  7472 | 1.20 |  824 |   29.95 |    176.1 |    224.0 | G1 148km/h | ALS-SPOOL
   7.0 |  7632 | 1.20 |  818 |   31.32 |    183.5 |    228.5 | G1 151km/h | ALS-SPOOL
   7.1 |  7796 | 1.20 |  813 |   32.96 |    191.1 |    233.1 | G1 155km/h | ALS-SPOOL
   7.2 |  7963 | 1.21 |  807 |   34.96 |    199.0 |    237.6 | G1 158km/h | ALS-SPOOL
   7.3 |  8132 | 1.21 |  802 |   37.38 |    207.0 |    241.9 | G1 161km/h | ALS-SPOOL
   7.4 |  8304 | 1.21 |  797 |   40.26 |    215.0 |    245.9 | G1 165km/h | ALS-SPOOL
   7.5 |  8479 | 1.22 |  792 |   43.61 |    222.7 |    249.4 | G1 168km/h | ALS-SPOOL
   7.6 |  8796 | 1.22 |  784 |   50.26 |    234.3 |    252.8 | G3 169km/h | ALS-SPOOL
   7.7 |  8394 | 1.23 |  792 |   49.86 |    223.8 |    252.2 | G4 204km/h | ALS-SPOOL
   7.8 |  6638 | 1.23 |  844 |   26.16 |    176.1 |    251.0 | G4 303km/h | ALS-SPOOL
   7.9 |  6781 | 1.23 |  839 |   26.76 |    175.8 |    245.1 | G4 313km/h | ALS-SPOOL
   8.0 |  6952 | 1.22 |  834 |   27.47 |    175.1 |    238.1 | G4 321km/h | ALS-SPOOL
   8.1 |  7118 | 1.22 |  830 |   25.69 |    174.3 |    231.4 | G4 329km/h | ALS-SPOOL
   8.2 |  7280 | 1.22 |  825 |   26.56 |    176.8 |    229.5 | G4 337km/h | ALS-SPOOL
   8.3 |  7445 | 1.23 |  819 |   27.57 |    183.7 |    233.1 | G4 344km/h | ALS-SPOOL
   8.4 |  7612 | 1.23 |  814 |   28.80 |    191.0 |    237.1 | G4 352km/h | ALS-SPOOL
   8.5 |  7782 | 1.23 |  809 |   30.29 |    198.7 |    241.2 | G4 360km/h | ALS-SPOOL
   8.6 |  7954 | 1.23 |  804 |   32.11 |    206.6 |    245.3 | G4 368km/h | ALS-SPOOL
   8.7 |  8129 | 1.23 |  799 |   34.34 |    214.6 |    249.2 | G4 376km/h | ALS-SPOOL
   8.8 |  8306 | 1.23 |  794 |   37.02 |    222.6 |    252.8 | G4 384km/h | ALS-SPOOL
   8.9 |  8485 | 1.24 |  789 |   40.14 |    230.3 |    256.0 | G4 392km/h | ALS-SPOOL
   9.0 |  8666 | 1.24 |  784 |   43.65 |    237.6 |    258.4 | G4 401km/h | ALS-SPOOL
