C:\kb>cpppppp.exe
STL loaded: 61329 triangles
Dimensions: X[-0.475..1.102] Y[-0.390..0.343] Z[-0.503..0.779] m

=============================================================
    TURBO MONSTER 1.3L TRIPLE тАФ COMBAT SIMULATION
    2-Stroke | Turbo | Direct Injection | ALS Active
=============================================================
Time(s) | RPM   | Boost | EGT(C) | Wf(g/s) | Power(kW) | Torque(Nm) | Mode
-----------------------------------------------------------------
   0.0 |     1 | 1.01 |  227 |    0.06 |      0.0 |      0.0 | G0   0km/h | OFF
   0.1 |   407 | 0.98 |  227 |    1.40 |      6.1 |    142.5 | G0   0km/h | OFF
   0.2 |   672 | 0.98 |  227 |    1.20 |     10.0 |    141.7 | G0   0km/h | OFF
   0.3 |   889 | 1.01 |  454 |    1.20 |     13.0 |    139.2 | G1   0km/h | CRUISE
   0.4 |  1500 | 1.01 |  290 |    1.20 |      9.7 |     61.5 | G1  22km/h | CRUISE
   0.5 |  1509 | 1.01 |  333 |    1.23 |     12.5 |     79.1 | G1  29km/h | CRUISE
   0.6 |  1658 | 1.02 |  509 |    2.23 |     23.6 |    135.9 | G1  32km/h | CRUISE
   0.7 |  1804 | 1.02 |  515 |    2.43 |     25.6 |    135.6 | G1  35km/h | CRUISE
   0.8 |  1950 | 1.02 |  519 |    2.63 |     27.6 |    135.2 | G1  38km/h | CRUISE
   0.9 |  2095 | 1.02 |  523 |    2.83 |     29.6 |    134.9 | G1  41km/h | CRUISE
   1.0 |  2207 | 1.02 |  304 |    1.01 |      6.6 |     28.7 | G1  43km/h | CRUISE
   1.1 |  2229 | 1.02 |  304 |    1.01 |      6.5 |     28.1 | G1  44km/h | CRUISE
   1.2 |  2259 | 1.02 |  305 |    1.02 |      6.6 |     28.0 | G1  45km/h | CRUISE
   1.3 |  2289 | 1.02 |  305 |    1.04 |      6.7 |     27.9 | G1  46km/h | CRUISE
   1.4 |  2319 | 1.02 |  306 |    1.05 |      6.8 |     27.8 | G1  46km/h | CRUISE
   1.5 |  2349 | 1.03 |  306 |    1.06 |      6.8 |     27.8 | G1  47km/h | CRUISE
   1.6 |  2378 | 1.03 |  307 |    1.08 |      6.9 |     27.7 | G1  47km/h | CRUISE
   1.7 |  2408 | 1.03 |  307 |    1.09 |      7.0 |     27.6 | G1  48km/h | CRUISE
   1.8 |  2438 | 1.03 |  308 |    1.11 |      7.0 |     27.5 | G1  49km/h | CRUISE
   1.9 |  2467 | 1.03 |  308 |    1.12 |      7.1 |     27.5 | G1  49km/h | CRUISE
   2.0 |  2497 | 1.03 |  309 |    1.14 |      7.2 |     27.4 | G1  50km/h | LIGHT
   2.1 |  2525 | 1.03 |  309 |    1.13 |      7.0 |     26.5 | G1  50km/h | LIGHT
   2.2 |  2554 | 1.03 |  309 |    1.14 |      7.1 |     26.4 | G1  51km/h | LIGHT
   2.3 |  2582 | 1.03 |  310 |    1.15 |      7.1 |     26.3 | G1  51km/h | LIGHT
   2.4 |  2610 | 1.03 |  310 |    1.17 |      7.2 |     26.3 | G1  52km/h | LIGHT
   2.5 |  2638 | 1.03 |  310 |    1.18 |      7.2 |     26.2 | G1  53km/h | LIGHT
   2.6 |  2666 | 1.03 |  311 |    1.19 |      7.3 |     26.1 | G1  53km/h | LIGHT
   2.7 |  2694 | 1.03 |  311 |    1.21 |      7.3 |     26.0 | G1  54km/h | LIGHT
   2.8 |  2722 | 1.03 |  311 |    1.22 |      7.4 |     25.9 | G1  54km/h | LIGHT
   2.9 |  2750 | 1.04 |  312 |    1.23 |      7.4 |     25.8 | G1  55km/h | LIGHT
   3.0 |  2778 | 1.04 |  312 |    1.24 |      7.5 |     25.7 | G1  55km/h | LIGHT
   3.1 |  2805 | 1.04 |  312 |    1.26 |      7.5 |     25.7 | G1  56km/h | LIGHT
   3.2 |  2833 | 1.04 |  313 |    1.27 |      7.6 |     25.6 | G1  56km/h | LIGHT
   3.3 |  2860 | 1.04 |  313 |    1.28 |      7.6 |     25.5 | G1  57km/h | LIGHT
   3.4 |  2888 | 1.04 |  313 |    1.30 |      7.7 |     25.4 | G1  58km/h | LIGHT
   3.5 |  2915 | 1.04 |  313 |    1.31 |      7.7 |     25.3 | G1  58km/h | LIGHT
   3.6 |  2942 | 1.04 |  314 |    1.32 |      7.8 |     25.2 | G1  59km/h | LIGHT
   3.7 |  2969 | 1.04 |  314 |    1.33 |      7.8 |     25.1 | G1  59km/h | LIGHT
   3.8 |  2996 | 1.04 |  314 |    1.35 |      7.9 |     25.0 | G1  60km/h | LIGHT
   3.9 |  3023 | 1.04 |  314 |    1.36 |      7.9 |     24.9 | G1  60km/h | LIGHT
   4.0 |  3049 | 1.04 |  315 |    1.37 |      7.9 |     24.8 | G1  61km/h | LIGHT
   4.1 |  3076 | 1.04 |  315 |    1.38 |      8.0 |     24.7 | G1  61km/h | LIGHT
   4.2 |  3103 | 1.04 |  315 |    1.39 |      8.0 |     24.7 | G1  62km/h | LIGHT
   4.3 |  3129 | 1.04 |  315 |    1.41 |      8.0 |     24.6 | G1  62km/h | LIGHT
   4.4 |  3155 | 1.04 |  315 |    1.42 |      8.1 |     24.5 | G1  63km/h | LIGHT
   4.5 |  3182 | 1.04 |  316 |    1.43 |      8.1 |     24.4 | G1  63km/h | LIGHT
   4.6 |  3208 | 1.04 |  316 |    1.44 |      8.2 |     24.3 | G1  64km/h | LIGHT
   4.7 |  3234 | 1.04 |  316 |    1.45 |      8.2 |     24.2 | G1  65km/h | LIGHT
   4.8 |  3260 | 1.04 |  316 |    1.47 |      8.2 |     24.1 | G1  65km/h | LIGHT
   4.9 |  3285 | 1.04 |  316 |    1.48 |      8.3 |     24.0 | G1  66km/h | LIGHT
   5.0 |  3311 | 1.14 | 1026 |    1.70 |     10.2 |     29.4 | G1  66km/h | ALS-SPOOL
   5.1 |  3476 | 1.14 | 1098 |    7.79 |     66.5 |    182.5 | G1  68km/h | ALS-SPOOL
   5.2 |  3613 | 1.14 | 1073 |    8.12 |     69.2 |    182.5 | G1  71km/h | ALS-SPOOL
   5.3 |  3765 | 1.14 | 1150 |    8.48 |     89.6 |    226.9 | G1  74km/h | ALS-SPOOL
   5.4 |  3938 | 1.14 | 1128 |    8.90 |     93.7 |    227.0 | G1  77km/h | ALS-SPOOL
